date,temperature,humidity,weather,wind_speed,traffic_level,air_quality,rainfall
2022-01-01,31,66,Snowy,4,Medium,Poor,0.0
2022-01-02,33,48,Cloudy,6,Low,Poor,1.0988148014794095
2022-01-03,39,53,Snowy,0,High,Fair,0.0
2022-01-04,37,51,Cloudy,17,Medium,Fair,2.0952606106131713
2022-01-05,---,32,Cloudy,23,Medium,Good,2.0925963498692157
2022-01-06,---,38,Rainy,22,Medium,Poor,---
2022-01-07,39,40,Snowy,21,Medium,Fair,3.08549744491548
2022-01-08,8,35,Rainy,5,High,Good,3.0810649042644456
2022-01-09,33,68,Snowy,23,Low,Good,3.076045331327395
2022-01-10,22,68,Snowy,27,Low,Good,0.07044021351212137
2022-01-11,11,66,Snowy,19,Medium,Good,3.0642512117360012
2022-01-12,17,31,Rainy,14,Low,Fair,4.057480159933831
2022-01-13,28,66,Cloudy,27,Medium,Fair,4.0501290645143895
2022-01-14,---,35,Rainy,22,Low,Fair,---
2022-01-15,29,35,Rainy,8,Low,Good,2.033695627210555
2022-01-16,7,68,Snowy,24,High,Good,0.0
2022-01-17,25,65,Cloudy,29,Medium,Poor,1.0149703767100786
2022-01-18,20,54,Cloudy,28,High,Poor,1.0047551514607949
2022-01-19,35,45,Cloudy,2,Low,Good,0.0
2022-01-20,30,50,Cloudy,26,Medium,Fair,0.9826346350256943
2022-01-21,39,39,Snowy,17,Medium,Good,0.0
2022-01-22,42,34,Cloudy,28,Medium,Poor,0.0
2022-01-23,---,54,Snowy,15,Medium,Poor,1.9452790976809753
2022-01-24,13,60,Snowy,16,Medium,Fair,1.9317285765345744
2022-01-25,---,32,Cloudy,8,Medium,Good,0.0
2022-01-26,26,49,Rainy,27,Low,Poor,2.903003368263768
2022-01-27,15,33,Snowy,23,Medium,Fair,0.0
2022-01-28,15,43,Rainy,12,Low,Poor,3.872141243068276
2022-01-29,19,41,Snowy,7,High,Fair,1.8559201694017764
2022-01-30,---,43,Cloudy,12,Low,Poor,1.839178778693222
2022-01-31,---,66,Cloudy,0,High,Poor,---
2022-02-01,19,47,Rainy,20,Medium,Good,3.804155042202619
2022-02-02,31,56,Snowy,11,Low,Fair,3.7858830747095658
2022-02-03,13,36,Cloudy,11,Low,Fair,0.0
2022-02-04,20,64,Cloudy,29,Low,Poor,2.747846011515109
2022-02-05,39,51,Cloudy,8,High,Good,0.0
2022-02-06,11,50,Snowy,0,Medium,Poor,0.0
2022-02-07,22,47,Rainy,20,Low,Poor,0.6871432179042949
2022-02-08,25,67,Snowy,13,High,Poor,0.0
2022-02-09,14,55,Rainy,28,Low,Fair,0.6443131689983288
2022-02-10,19,51,Rainy,13,Low,Good,0.0
2022-02-11,36,66,Snowy,5,Low,Poor,3.599652802409137
2022-02-12,43,34,Rainy,15,Low,Poor,0.5766527080062132
2022-02-13,30,64,Snowy,29,High,Poor,1.5532150495371313
2022-02-14,17,41,Snowy,7,Medium,Fair,0.529346772085922
2022-02-15,---,64,Snowy,18,Medium,Poor,---
2022-02-16,30,63,Cloudy,4,Low,Fair,2.480346776485944
2022-02-17,33,49,Cloudy,14,High,Fair,0.0
2022-02-18,33,41,Rainy,12,Medium,Fair,2.429710795928573
2022-02-19,43,63,Snowy,25,Medium,Fair,3.4037979917574255
2022-02-20,51,55,Snowy,23,Low,Fair,3.3774988441030547
