ISO 8601 Date Time,Top of Conservation High (ac-ft),Top of Conservation High (ac-ft) notes,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft-NGVD29),Elevation (ft-NGVD29) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs; 614 ft),Outflow (cfs; 614 ft) notes,Russian R @ Hopland (cfs; USGS),Russian R @ Hopland (cfs; USGS) notes,Precip @ Dam (in; 670 ft),Precip @ Dam (in; 670 ft) notes,Basin Precip,Basin Precip notes,Gross Pool,Gross Pool(elev),Russian R nr Ukiah (cfs),Russian R nr Ukiah (cfs) notes
2023-08-30T24:00:00-07:00,111000,0,86400,0,84192,0,746.75,0,80.54,0,189,0,169.24,0,0,0,-,-,-,-,0.02,0
2023-08-31T24:00:00-07:00,111000,0,86400,0,83966,0,746.62,0,92.3,0,189,0,168.95,0,0,0,-,-,116470,764.8,0.02,0
2023-09-01T24:00:00-07:00,111000,0,86400,0,83723,0,746.48,0,74.82,0,189,0,171.57,0,0,0,-,-,116470,764.8,0.02,0
2023-09-02T24:00:00-07:00,111000,0,86400,0,83480,0,746.34,0,76.72,0,189,0,172.65,0,0,0,-,-,116470,764.8,0.02,0
2023-09-03T24:00:00-07:00,111000,0,86400,0,83271,0,746.22,0,88.75,0,181.94,0,170.76,0,0,0,-,-,116470,764.8,0.02,0
2023-09-04T24:00:00-07:00,111000,0,86400,0,83063,0,746.1,0,86.57,0,177,0,162.27,0,0,0,-,-,116470,764.8,0.02,0
2023-09-05T24:00:00-07:00,111000,0,86400,0,82855,0,745.98,0,87.3,0,177,0,160.37,0,0.01,0,-,-,116470,764.8,0.02,0
2023-09-06T24:00:00-07:00,111000,0,86400,0,82699,0,745.89,0,110.8,0,174.56,0,154.76,0,0,0,-,-,116470,764.8,0.02,0
2023-09-07T24:00:00-07:00,111000,0,86400,0,82473,0,745.76,0,83.17,0,173,0,153.97,0,0,0,-,-,116470,764.8,0.02,0
2023-09-08T24:00:00-07:00,111000,0,86400,0,82265,0,745.64,0,83.26,0,173,0,154.91,0,0,0,-,-,116470,764.8,0.02,0
