Data Download for Which Courses Have the Largest GPA Equity Gaps?,,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/achievement-gaps-gpa,,,,
Humboldt,*All Colleges,*All Departments,2023 - Fall,Largest GPA Gap,
,,,,,
Enrollment by Ethnicity,,,,,
Course,Course Code,White,African American,Latinx,Asian
Theory and Methods,CRGS390,N<10,N<10,16,N<10
First Year Ere Seminar,ENGR280,28,N<10,27,N<10
Evolution,BIOL307,29,N<10,18,N<10
Organic Chemistry I,CHEM324,22,N<10,20,N<10
"Rock,  An American Music",MUS301,44,N<10,14,N<10
Sound Mind Sound Body,HED100,41,N<10,28,N<10
Senior Project,WLDF495W,15,N<10,15,N<10
Radical Futures,CRGS331,N<10,N<10,17,N<10
Basic Human Nutrition,HED231,14,N<10,20,N<10
Elementary Statistics,STAT108,83,N<10,36,N<10
Support For Math 101i,MATH1,74,N<10,67,N<10
The Stories We Tell,AHSS101,51,N<10,21,N<10
Cognitive Psychology,PSYC324,40,N<10,25,N<10
Beg Ceramics,ART290,36,N<10,26,N<10
U.S. History To 1877,HIST110,61,N<10,38,N<10
College Algebra Is,MATH101I,74,N<10,67,N<10
Organic Chemistry I Laboratory,CHEM324L,21,N<10,19,N<10
Principles of Biology,BIOL105,92,N<10,60,N<10
College Algebra,MATH101,74,N<10,39,N<10
General Chemistry,CHEM109,116,N<10,77,11
Intro To U.S. Ethnic Studies,ES105,32,N<10,23,N<10
Introductory Zoology,ZOOL110,45,N<10,29,N<10
Fundamentals of Chemistry,CHEM107,67,N<10,26,N<10
Inclusive Recreation,REC302,28,N<10,16,N<10
Geospatial Concepts,GSP101,132,N<10,54,N<10
Algebra and Elementary Functio,MATH102,73,N<10,54,N<10
Brief Organic Chemistry,CHEM228,37,N<10,19,N<10
General Botany,BOT105,169,N<10,100,N<10
Environmental Crime,SOC363,N<10,N<10,16,N<10
Interviewing and Counslng Tech,PSYC454,27,N<10,16,N<10
Chican@ and Latin@ Lives,ES107,47,N<10,74,N<10
General Chemistry,CHEM110,51,N<10,30,N<10
Wildlife Mgmt (Nongame Wldf),WLDF423,24,N<10,15,N<10
Calculus I,MATH109,48,N<10,29,N<10
Composition and Rhetoric B,ENGL103,69,N<10,28,N<10
Principles of Wldlfe Mngmnt,WLDF301,30,N<10,19,N<10
American Government,PSCI110,152,16,71,12
Intro To Black Studies,ES106,16,N<10,21,N<10
Computer Science Foundations 1,CS111,28,N<10,26,N<10
U.S. History Since 1877,HIST111,49,N<10,34,N<10
Plant Ecology,BOT330,42,N<10,12,N<10
Intro To Env Resources Engr,ENGR115,48,N<10,36,N<10
Intro Psychology,PSYC104,60,N<10,41,N<10
College Seminar,SP117,10,N<10,14,N<10
Intro To Nat American Studies,NAS104,161,N<10,106,N<10
Soc Wk and Community Justice,SW442,14,N<10,N<10,N<10
Calculus and Bio Sci and Nat R,MATH105,52,N<10,23,N<10
Behind The Scenes In Theatre,TA106,N<10,N<10,10,N<10
Substance Use and Abuse,PSYC473,35,N<10,27,N<10
Intro To Music,MUS104,37,N<10,21,N<10
Introduction To Remote Sensing,GSP216,29,N<10,11,N<10
Logic,PHIL100,60,N<10,26,N<10
Cell Biology,BIOL350,23,N<10,36,N<10
Intro To Social Work Methods,SW340,33,N<10,16,N<10
Amer Sign Language Level I,CD109Y,N<10,N<10,13,N<10
Plant Taxonomy,BOT350,52,N<10,31,N<10
Intro To Social Research,SOC382,N<10,N<10,18,N<10
Global Humboldt Seminar,AHSS180,42,N<10,26,N<10
Abnormal Psychology,PSYC338,38,N<10,24,N<10
"Col Phyx,  Mechanics and Heat",PHYX106,51,N<10,28,N<10
Intro Social Work Methods Lab,SW340L,33,N<10,16,N<10
Tek and Place Based Learning,NAS101,27,N<10,20,N<10
Introductory Biostatistics,STAT109,95,N<10,37,N<10
Ca and Us Forest Wildland Poli,FOR359,36,N<10,18,N<10
"Pwr and Privilege, gen and Rac",CRGS108,23,N<10,28,N<10
Biological Anthropology,ANTH103,42,N<10,20,N<10
Becoming A Stem Professional,SCI100,208,N<10,136,11
Earthquake Country,GEOL106,17,N<10,23,N<10
Introduction To Soil Science,SOIL260,66,N<10,33,N<10
Fund Speech Comm,COMM100,238,14,130,13
Directed Study,BIOL499,42,N<10,19,N<10
Film Comedy Around The World,FILM109,43,N<10,19,N<10
Mammalogy,ZOOL356,36,N<10,18,N<10
College Corps,AHSS480,35,N<10,43,N<10
Psychology of Women,PSYC300,47,N<10,21,N<10
Psych of Critical Thinking,PSYC100,69,N<10,43,N<10
Middle Childhood Development,CD209,30,N<10,19,N<10
Introduction To Gis,GSP270,69,N<10,27,N<10
Social Work Research,SW382,33,N<10,17,N<10
Oral Literature and Tradition,NAS302W,13,N<10,14,N<10
Beg Graphic Design,ART108,23,N<10,15,N<10
Human Behavior and Soc Env I,SW350,33,N<10,16,N<10
Legal Environment of Business,BA210,23,N<10,22,N<10
General Bacteriology,BIOL412,13,N<10,13,N<10
Strategic Management,BA496,12,N<10,15,N<10
Ornithology I,WLDF365,24,N<10,15,N<10
"Race, Gender and Us Law",CRGS360,N<10,N<10,14,N<10
Indian In Am Hist,NAS200,83,N<10,43,N<10
Intro To Sw and Sw Institution,SW101,38,N<10,30,N<10
Accelerated Comp and Rhetoric,ENGL104,96,N<10,60,N<10
