Data Download for Which Courses Have the Largest GPA Equity Gaps?,,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/achievement-gaps-gpa,,,,
Humboldt,*All Colleges,*All Departments,2023 - Fall,Largest GPA Gap,
,,,,,
Average GPA by Ethnicity,,,,,
Course,Course Code,White,African American,Latinx,Asian
Theory and Methods,CRGS390,N<10,N<10,3,N<10
First Year Ere Seminar,ENGR280,3.04,N<10,2.67,N<10
Evolution,BIOL307,3.2,N<10,2.06,N<10
Organic Chemistry I,CHEM324,2.56,N<10,2.2,N<10
"Rock,  An American Music",MUS301,2.66,N<10,2.69,N<10
Sound Mind Sound Body,HED100,2.44,N<10,2.45,N<10
Senior Project,WLDF495W,3.05,N<10,3.18,N<10
Radical Futures,CRGS331,N<10,N<10,2.76,N<10
Basic Human Nutrition,HED231,2.85,N<10,3.21,N<10
Elementary Statistics,STAT108,2.99,N<10,2.32,N<10
Support For Math 101i,MATH1,2.22,N<10,1.74,N<10
The Stories We Tell,AHSS101,2.85,N<10,2.7,N<10
Cognitive Psychology,PSYC324,3.27,N<10,2.72,N<10
Beg Ceramics,ART290,3.65,N<10,3.16,N<10
U.S. History To 1877,HIST110,3.36,N<10,2.79,N<10
College Algebra Is,MATH101I,2.31,N<10,1.76,N<10
Organic Chemistry I Laboratory,CHEM324L,3.27,N<10,2.86,N<10
Principles of Biology,BIOL105,2.6,N<10,2.62,N<10
College Algebra,MATH101,2.55,N<10,2.65,N<10
General Chemistry,CHEM109,2.65,N<10,2.14,2.21
Intro To U.S. Ethnic Studies,ES105,3.22,N<10,2.92,N<10
Introductory Zoology,ZOOL110,2.55,N<10,1.42,N<10
Fundamentals of Chemistry,CHEM107,2.7,N<10,2.17,N<10
Inclusive Recreation,REC302,2.9,N<10,3.13,N<10
Geospatial Concepts,GSP101,2.98,N<10,3.14,N<10
Algebra and Elementary Functio,MATH102,2.69,N<10,1.88,N<10
