Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,AHSS101,The Stories We Tell,96,21
2023 - Fall,AHSS102,Humboldt Peoples and Places,20,2
2023 - Fall,AHSS108,"Nature, Culture, and Food",31,4
2023 - Fall,AHSS180,Global Humboldt Seminar,77,5
2023 - Fall,AHSS201,"Evol, Creat,and Robot Apocalyp",27,4
2023 - Fall,AHSS480,College Corps,106,1
2023 - Fall,AIE330,History of Indian Education,24,3
2023 - Fall,AIE340,Instructional Practices,15,1
2023 - Fall,ANTH103,Biological Anthropology,71,14
2023 - Fall,ANTH104,Cultural Anthropology,44,10
2023 - Fall,ANTH105,Archaeology and World Prehisto,45,6
2023 - Fall,ANTH210,Intro To Anthropology Major,25,3
2023 - Fall,ANTH302,Anthropology of Religion,43,11
2023 - Fall,ANTH305,"Hum Ev Bio, Diversity, Health",42,3
2023 - Fall,ANTH307,Chinese Cultural Heritage,42,8
2023 - Fall,ANTH310W,"Critical Hist,  Cult, Race, Sc",24,3
2023 - Fall,ANTH317,Women and Development,16,3
2023 - Fall,ANTH318,Ethnography,26,4
2023 - Fall,ANTH334,"Anthro, Ecology and Conservati",24,4
2023 - Fall,ANTH350,Method and Theory In Archaeolo,25,4
2023 - Fall,ANTH358,Archaeology Lab,16,0
2023 - Fall,ANTH395,Mesoamerican Archaeology,17,4
2023 - Fall,ANTH410,Anthropology Capstone,10,2
2023 - Fall,ANTH482,Anthropology Internship,18,3
2023 - Fall,ART103A,Survey of Art History I,88,10
2023 - Fall,ART103B,Survey of Art History II,43,1
2023 - Fall,ART104I,20th Century Art,39,4
2023 - Fall,ART104J,Art In The United States,42,11
2023 - Fall,ART105B,Beginning Drawing,70,10
2023 - Fall,ART105C,Color and Design,50,6
2023 - Fall,ART105D,3d Foundations,44,3
2023 - Fall,ART106,Beg Painting,50,2
2023 - Fall,ART107,Beginning Printmaking,47,2
2023 - Fall,ART108,Beg Graphic Design,49,10
2023 - Fall,ART109,Beg Sculpture,46,7
2023 - Fall,ART122,Life Drawing I,21,2
2023 - Fall,ART250,Beg Photography,45,7
2023 - Fall,ART251,Beginning Digital Photography,37,5
2023 - Fall,ART273,Illustration I,17,1
2023 - Fall,ART282,Jewelry and Small Metals I,35,11
2023 - Fall,ART290,Beg Ceramics,71,7
2023 - Fall,ART301,Renaissance and Baroque Prints,31,8
2023 - Fall,ART303,Global Contemporary Art,45,6
2023 - Fall,ART303M,Global Contempo. Art Depth Exp,15,3
2023 - Fall,ART304,20th and 21st Century American,45,6
2023 - Fall,ART305,Museums and Politics of Displa,47,4
2023 - Fall,ART307,Arts Integration K-5 Classroom,22,0
2023 - Fall,ART321,Intermediate Drawing,18,0
2023 - Fall,ART324,Advanced Drawing,22,0
2023 - Fall,ART326,Inter Painting,38,1
2023 - Fall,ART329,Advanced Painting,20,0
2023 - Fall,ART340,Intermediate Graphic Design,13,0
2023 - Fall,ART346,Materials and Methods,14,0
2023 - Fall,ART348,Inter Jewelry and Small Metals,16,0
2023 - Fall,ART350,"Intermed Ceramics,  High Fire",27,0
2023 - Fall,ART351,"Intermed Ceramics,   Low Fire",24,3
2023 - Fall,ART356,Museum and Gallery Practices,24,1
2023 - Fall,ART357B,Curr and Dvlpmnt Thru Art Educ,16,0
2023 - Fall,ART359,Advanced Ceramics,19,1
2023 - Fall,ART367,Intermediate Photo - Color,22,0
2023 - Fall,ART372,Web Media and Design,18,1
2023 - Fall,ART395,Documentary Photography,20,1
2023 - Fall,ART437W,Professional Practices In Art,21,0
2023 - Fall,ART497S,Service Learning and Art Ed I,11,0
2023 - Fall,BA105,Critical Thinking In Org.,40,3
2023 - Fall,BA106,Advocating For Sustainability,34,2
2023 - Fall,BA120,Business Essentials,23,0
2023 - Fall,BA202,Personal Financial Management,30,1
2023 - Fall,BA210,Legal Environment of Business,58,3
2023 - Fall,BA250,Financial Accounting,31,3
2023 - Fall,BA252,Management Accounting,26,2
2023 - Fall,BA322,Business Analytics,54,7
2023 - Fall,BA340,Principles of Marketing,68,4
2023 - Fall,BA360,Principles of Finance,52,8
2023 - Fall,BA370,Principles of Management,37,2
2023 - Fall,BA422,Data Analytics and Econometric,16,3
2023 - Fall,BA430,Introduction To New Ventures,20,1
2023 - Fall,BA432,Leading Sustainable Ventures,25,1
2023 - Fall,BA433,Service Venture Management,19,0
2023 - Fall,BA446,Marketing Research,25,0
2023 - Fall,BA447,E-Marketing Strategy,23,1
2023 - Fall,BA448,Consumer Behavior,17,1
2023 - Fall,BA449,Macromarketing,13,0
2023 - Fall,BA450,Intermed. Financial Account. I,20,0
2023 - Fall,BA453,Tax Accounting,25,0
2023 - Fall,BA454,Financial Statement Auditing,25,1
2023 - Fall,BA456,Accounting Ethics,23,1
2023 - Fall,BA460,Investment Management,17,1
2023 - Fall,BA462,Problems In Financial Mgmt,10,2
2023 - Fall,BA496,Strategic Management,38,1
2023 - Fall,BIOL102,Human Biology,67,15
2023 - Fall,BIOL102L,Human Biology Lab,24,8
2023 - Fall,BIOL104,General Biology,60,8
2023 - Fall,BIOL105,Principles of Biology,190,34
2023 - Fall,BIOL198,Supplemental Instruction,45,11
2023 - Fall,BIOL255,Marine Biology,32,5
