continent,country,year,gdpPercap,lifeExp,pop
Africa,Algeria,1952,2449.008185,43.077,9279525.0
Africa,Algeria,1957,3013.976023,45.685,10270856.0
Africa,Algeria,1962,2550.81688,48.303,11000948.0
Africa,Algeria,1967,3246.991771,51.407,12760499.0
Africa,Algeria,1972,4182.663766,54.518,14760787.0
Africa,Algeria,1977,4910.416756,58.014,17152804.0
Africa,Algeria,1982,5745.160213,61.368,20033753.0
Africa,Algeria,1987,5681.358539,65.799,23254956.0
Africa,Algeria,1992,5023.216647,67.744,26298373.0
Africa,Algeria,1997,4797.295051,69.152,29072015.0
Africa,Algeria,2002,5288.040382,70.994,31287142.0
Africa,Algeria,2007,6223.367465,72.301,33333216.0
Africa,Angola,1952,3520.610273,30.015,4232095.0
Africa,Angola,1957,3827.940465,31.999,4561361.0
Africa,Angola,1962,4269.276742,34.0,4826015.0
Africa,Angola,1967,5522.776375,35.985,5247469.0
Africa,Angola,1972,5473.288005,37.928,5894858.0
Africa,Angola,1977,3008.647355,39.483,6162675.0
Africa,Angola,1982,2756.953672,39.942,7016384.0
Africa,Angola,1987,2430.208311,39.906,7874230.0
Africa,Angola,1992,2627.845685,40.647,8735988.0
Africa,Angola,1997,2277.140884,40.963,9875024.0
Africa,Angola,2002,2773.287312,41.003,10866106.0
Africa,Angola,2007,4797.231267,42.731,12420476.0
Africa,Benin,1952,1062.7522,38.223,1738315.0
Africa,Benin,1957,959.6010805,40.358,1925173.0
Africa,Benin,1962,949.4990641,42.618,2151895.0
Africa,Benin,1967,1035.831411,44.885,2427334.0
Africa,Benin,1972,1085.796879,47.014,2761407.0
Africa,Benin,1977,1029.161251,49.19,3168267.0
Africa,Benin,1982,1277.897616,50.904,3641603.0
Africa,Benin,1987,1225.85601,52.337,4243788.0
Africa,Benin,1992,1191.207681,53.919,4981671.0
Africa,Benin,1997,1232.975292,54.777,6066080.0
Africa,Benin,2002,1372.877931,54.406,7026113.0
Africa,Benin,2007,1441.284873,56.728,8078314.0
Africa,Botswana,1952,851.2411407,47.622,442308.0
Africa,Botswana,1957,918.2325349,49.618,474639.0
Africa,Botswana,1962,983.6539764,51.52,512764.0
Africa,Botswana,1967,1214.709294,53.298,553541.0
Africa,Botswana,1972,2263.611114,56.024,619351.0
Africa,Botswana,1977,3214.857818,59.319,781472.0
Africa,Botswana,1982,4551.14215,61.484,970347.0
Africa,Botswana,1987,6205.88385,63.622,1151184.0
Africa,Botswana,1992,7954.111645,62.745,1342614.0
Africa,Botswana,1997,8647.142313,52.556,1536536.0
Africa,Botswana,2002,11003.60508,46.634,1630347.0
Africa,Botswana,2007,12569.85177,50.728,1639131.0
Africa,Burkina Faso,1952,543.2552413,31.975,4469979.0
Africa,Burkina Faso,1957,617.1834648,34.906,4713416.0
Africa,Burkina Faso,1962,722.5120206,37.814,4919632.0
Africa,Burkina Faso,1967,794.8265597,40.697,5127935.0
Africa,Burkina Faso,1972,854.7359763,43.591,5433886.0
Africa,Burkina Faso,1977,743.3870368,46.137,5889574.0
Africa,Burkina Faso,1982,807.1985855,48.122,6634596.0
Africa,Burkina Faso,1987,912.0631417,49.557,7586551.0
Africa,Burkina Faso,1992,931.7527731,50.26,8878303.0
Africa,Burkina Faso,1997,946.2949618,50.324,10352843.0
Africa,Burkina Faso,2002,1037.645221,50.65,12251209.0
Africa,Burkina Faso,2007,1217.032994,52.295,14326203.0
Africa,Burundi,1952,339.2964587,39.031,2445618.0
Africa,Burundi,1957,379.5646281,40.533,2667518.0
Africa,Burundi,1962,355.2032273,42.045,2961915.0
Africa,Burundi,1967,412.9775136,43.548,3330989.0
Africa,Burundi,1972,464.0995039,44.057,3529983.0
Africa,Burundi,1977,556.1032651,45.91,3834415.0
Africa,Burundi,1982,559.603231,47.471,4580410.0
Africa,Burundi,1987,621.8188189,48.211,5126023.0
Africa,Burundi,1992,631.6998778,44.736,5809236.0
Africa,Burundi,1997,463.1151478,45.326,6121610.0
Africa,Burundi,2002,446.4035126,47.36,7021078.0
Africa,Burundi,2007,430.0706916,49.58,8390505.0
Africa,Cameroon,1952,1172.667655,38.523,5009067.0
Africa,Cameroon,1957,1313.048099,40.428,5359923.0
Africa,Cameroon,1962,1399.607441,42.643,5793633.0
Africa,Cameroon,1967,1508.453148,44.799,6335506.0
Africa,Cameroon,1972,1684.146528,47.049,7021028.0
Africa,Cameroon,1977,1783.432873,49.355,7959865.0
Africa,Cameroon,1982,2367.983282,52.961,9250831.0
Africa,Cameroon,1987,2602.664206,54.985,10780667.0
Africa,Cameroon,1992,1793.163278,54.314,12467171.0
Africa,Cameroon,1997,1694.337469,52.199,14195809.0
Africa,Cameroon,2002,1934.011449,49.856,15929988.0
Africa,Cameroon,2007,2042.09524,50.43,17696293.0
Africa,Central African Republic,1952,1071.310713,35.463,1291695.0
Africa,Central African Republic,1957,1190.844328,37.464,1392284.0
Africa,Central African Republic,1962,1193.068753,39.475,1523478.0
Africa,Central African Republic,1967,1136.056615,41.478,1733638.0
Africa,Central African Republic,1972,1070.013275,43.457,1927260.0
Africa,Central African Republic,1977,1109.374338,46.775,2167533.0
Africa,Central African Republic,1982,956.7529907,48.295,2476971.0
Africa,Central African Republic,1987,844.8763504,50.485,2840009.0
Africa,Central African Republic,1992,747.9055252,49.396,3265124.0
Africa,Central African Republic,1997,740.5063317,46.066,3696513.0
Africa,Central African Republic,2002,738.6906068,43.308,4048013.0
Africa,Central African Republic,2007,706.016537,44.741,4369038.0
Africa,Chad,1952,1178.665927,38.092,2682462.0
Africa,Chad,1957,1308.495577,39.881,2894855.0
Africa,Chad,1962,1389.817618,41.716,3150417.0
Africa,Chad,1967,1196.810565,43.601,3495967.0
Africa,Chad,1972,1104.103987,45.569,3899068.0
Africa,Chad,1977,1133.98495,47.383,4388260.0
Africa,Chad,1982,797.9081006,49.517,4875118.0
Africa,Chad,1987,952.386129,51.051,5498955.0
Africa,Chad,1992,1058.0643,51.724,6429417.0
Africa,Chad,1997,1004.961353,51.573,7562011.0
Africa,Chad,2002,1156.18186,50.525,8835739.0
Africa,Chad,2007,1704.063724,50.651,10238807.0
Africa,Comoros,1952,1102.990936,40.715,153936.0
Africa,Comoros,1957,1211.148548,42.46,170928.0
Africa,Comoros,1962,1406.648278,44.467,191689.0
