"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Number of copies","Quotes","Flashcards","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Transfer Type","Transfer place","Transfer Price","Transfer Date","Description","Date added"
"173876","9781481443364","Fiction","",0,,,546,1,,,,,0,1,"","","Zeroes (Zeroes, #1)",,"en","Adventure","Scott Westerfeld,Margo Lanagan,Deborah Biancotti","","","","","","Simon Pulse",546,"2015-09-29","hardcover","Zeroes",1,,,,,,,,,,,,"Don’t call them heroes.

But these six Californian teens have powers that set them apart. They can do stuff ordinary people can’t.

Take Ethan, a.k.a. Scam. He’s got a voice inside him that’ll say whatever you want to hear, whether it’s true or not. Which is handy, except when it isn’t—like when the voice starts gabbing in the middle of a bank robbery. The only people who can help are the other Zeroes, who aren’t exactly best friends these days.

Enter Nate, a.k.a. Bellwether, the group’s “glorious leader.” After Scam’s SOS, he pulls the scattered Zeroes back together. But when the rescue blows up in their faces, the Zeroes find themselves propelled into whirlwind encounters with ever more dangerous criminals. And at the heart of the chaos they find Kelsie, who can take a crowd in the palm of her hand and tame it or let it loose as she pleases.

Filled with high-stakes action and drama, Zeroes unites three powerhouse authors for the opening installment of a thrilling new series.","2023-03-23"
"1046319","9780802139177","Non-Fiction","",0,,,193,1,,,,,0,1,"","","Zeno and the Tortoise: How to Think Like a Philosopher","How to Think Like a Philosopher","en","Philosophy","Nicholas Fearn","","","","","","Atlantic Monthly Press",193,"2002-04-11","paperback",,,,,,,,,,,,,,"For those who don't know the difference between Lucretius's spear and Hume's fork, Zeno and the Tortoise explains not just who each philosopher was and what he thought, but exactly how he came to think in the way he did. Nicholas Fearn presents philosophy as a collection of tools -- the tricks of a trade that, in the end, might just be all tricks, each to be fruitfully applied to a variety of everyday predicaments. In a witty and engaging style that incorporates everything from Sting to cell phones to Bill Gates, Fearn demystifies the ways of thought that have shaped and inspired humanity -- among many others, the Socratic method, Descartes's use of doubt, Bentham's theory of utilitarianism, Rousseau's social contract, and, of course, the concept of common sense. Along the way, there are fascinating biographical snippets about the philosophers themselves: the story of Thales falling down a well while studying the stars, and of Socrates being told by a face-reader that his was the face of a monster who was capable of any crime. Written in twenty-five short chapters, each readable during the journey to work, Zeno and the Tortoise is the ideal course in intellectual self-defense. Acute, often irreverent, but always authoritative, this is a unique introduction to the ideas that have shaped us all. ""Entertaining and witty. A smooth, sweet concoction that should tickle the taste buds of the most philosophobic readers."" -- Julian Boggini, The Times Educational Supplement (U.K.) ""...","2023-12-18"
"128576","9780385472579","Non-Fiction","",0,,,160,1,,,,,0,1,"","","Zen Speaks","Shouts of Nothingness","en","Philosophy,Eastern,Religious","Tsai Chih Chung","","Brian Bruya","","","","Anchor",160,"1994-04-15","paperback",,,,,,,,,,,,,,"Inspired by the earliest and core texts of Zen Buddhism, Zen Speaks distills the philosophy and wisdom of Zen in a series of illustrated Chinese character cartoon panels that are irreverently humorous and profoundly wise.","2023-12-18"
"10755","9781421587813","Graphic Novels & Manga","",0,,,0,0,,,,,0,1,"","","Yona of the Dawn, Vol. 1",,"en","Graphic Novels: Manga","Mizuho Kusanagi","","","","","","VIZ Media LLC",200,"2016-08-02","paperback","Yona of the Dawn",1,,,,,,,,,,,,"Princess Yona lives an ideal life as the only princess of her kingdom. Doted on by her father, the king, and protected by her faithful guard Hak, she cherishes the time spent with the man she loves, Soo-won. But everything changes on her 16th birthday when she witnesses her father's murder!

Yona reels from the shock of witnessing a loved one’s murder and having to fight for her life. With Hak’s help, she flees the palace and struggles to survive while evading her enemy’s forces. But where will this displaced princess go when all the paths before her are uncertain?","2023-08-17"
"5667","9780440998051","Fiction","",0,,,0,0,,,,,0,1,"","","A Wrinkle in Time",,"en","Fantasy & Magical,Fantasy,Fiction","Madeleine L'Engle","","","","","","Laurel Leaf",240,"1976-02-15","paperback",,,,,,,,,,,,,,"This special edition of A Wrinkle in Time includes a new essay that explores the science behind the fantasy.
Rediscover one of the most beloved children's books of all time: A Wrinkle in Time by Madeleine L'Engle:

Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time. 

Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?","2023-07-14"
"6687739","9781649374073","Fiction","",0,,,0,0,,,,,0,1,"","","The Wren in the Holly Library",,"en","Fiction","K.A. Linde","","","","","","Entangled Publishing, LLC (Red Tower Books)",400,"2023-08-01","ebook","The Oak and Holly Cycle",1,,,,,,,,,,,,"A Darker Shade of Magic meets Six of Crows, in this alternate day New York where monsters live among humankind, from USA Today bestselling author K.A. Linde.","2024-06-09"
"48622","9780399171611","Fiction","",0,,,0,0,,,,,0,1,"","","The Wrath & the Dawn",,"en","Fiction,Romance,Historical Fiction","Renée Ahdieh","","","","","","G.P. Putnam's Sons Books for Young Readers",416,"2015-05-12","hardcover","The Wrath and the Dawn",1,,,,,,,,,,,,"#1 New York Times Bestseller

A sumptuous and epically told love story inspired by A Thousand and One Nights

Every dawn brings horror to a different family in a land ruled by a killer. Khalid, the eighteen-year-old Caliph of Khorasan, takes a new bride each night only to have her executed at sunrise. So it is a suspicious surprise when sixteen-year-old Shahrzad volunteers to marry Khalid. But she does so with a clever plan to stay alive and exact revenge on the Caliph for the murder of her best friend and countless other girls. Shazi’s wit and will, indeed, get her through to the dawn that no others have seen, but with a catch . . . she’s falling in love with the very boy who killed her dearest friend.

She discovers that the murderous boy-king is not all that he seems and neither are the deaths of so many girls. Shazi is determined to uncover the reason for the murders and to break the cycle once and for all.


*The book is a Rough Cut Edition (pages are deliberately not the same length).*","2023-12-16"
"96081","9780811825559","Non-Fiction","",0,,,176,1,,,,,0,1,"","","The Worst-Case Scenario Survival Handbook","How to Escape from Quicksand, Wrestle an Alligator, Break Down a Door, Land a Plane...","en","Personal Development,Humour","Joshua Piven,David Borgenicht","","","","","","Chronicle Books",176,"1999-10-01","paperback",,,,,,,,,,,,,,"Danger! It lurks at every corner. Volcanoes. Sharks. Quicksand. Terrorists. The pilot of the plane blacks out and it's up to you to land the jet. What do you do? The Worst-Case Scenario Survival Handbook is here to help: jam-packed with how-to, hands-on, step-by-step, illustrated instructions on everything you need to know FAST-from defusing a bomb to delivering a baby in the back of a cab. Providing frightening and funny real information in the best-selling tradition of the Paranoid's Pocket Guide and Hypochondriac's Handbook, this indispensable, indestructible pocket-sized guide is the definitive handbook for those times when life takes a sudden turn for the worse. The essential companion for a perilous age. Because you never know...","2023-04-01"
"456417","9780911461169","Non-Fiction","",0,,,128,1,,,,,0,1,"","","The World Famous San Diego Zoo",,"en","","Claudia Pearce","","","","","","Zoological Society Of San Diego",128,"2000-01-01","paperback",,,,,,,,,,,,,,,"2023-04-09"
"489524","9780399549762","Fiction","",0,,,0,0,,,,,0,1,"","","Wonder Woman: Warbringer",,"en","Science Fiction,Superheroes,Action & Adventure","Leigh Bardugo","","","","","","Ember",464,"2019-03-05","paperback",,,,,,,,,,,,,,"THENEW YORK TIMES BESTSELLER

""You’ll enjoy this book whether you’re a fan of Wonder Woman comics, the Wonder Woman movie, Leigh Bardugo, or just YA lit in general."" —Hypable 

The DC Icons adventure of the world's greatest super hero—WONDER WOMAN—by #1New York Timesbestselling author LEIGH BARDUGO. She will become one of the world's greatest heroes, but first she is Diana, princess of the Amazons. And her fight is just beginning. . . .

Diana longs to prove herself to her legendary warrior sisters. But when the opportunity comes, she throws away her chance at glory and breaks Amazon law to save a mere mortal, Alia Keralis. With this single heroic act, Diana may have just doomed the world.

Alia is a Warbringer. As a descendant of the infamous Helen of Troy, she is fated to bring about an age of bloodshed and misery. Now Diana and Alia will face an army of enemies—mortal and divine—determined to either destroy or possess the Warbringer. If they have any hope of saving both their worlds, they will have to stand side by side against the tide of war.

A Boston Globe Best Book of the Year * A CCBC Choices Best of the Year * An ALA-YALSA Teens' Top Ten Selection * A Junior Library Guild Selection

""Feminism is the invisible jet powering this literary revamp of the Amazon princess."" —The New York Times Book Review 

""Warning: This novel about the young super hero crossing paths with a seemingly ordinary—but seriously powerful—girl may result in multiple fist pumps."" —Seventeen 
...","2023-03-23"
